filename,interaction_number,speaker,sentence_number,text,task_type,Initials,Type_interraction,Manual Coding,AI coding,Birth month,Birth Year,Mother tongue,Sex,Date of experiment,Experimenter,Place experiment,Age at experiment,Condition,Language of experiment,Order of tasks,Appreciation,text_en,id,strategy::feature_politeness_==Please==,strategy::feature_politeness_==Please_start==,strategy::feature_politeness_==HASHEDGE==,strategy::feature_politeness_==Indirect_(btw)==,strategy::feature_politeness_==Hedges==,strategy::feature_politeness_==Factuality==,strategy::feature_politeness_==Deference==,strategy::feature_politeness_==Gratitude==,strategy::feature_politeness_==Apologizing==,strategy::feature_politeness_==1st_person_pl.==,strategy::feature_politeness_==1st_person==,strategy::feature_politeness_==1st_person_start==,strategy::feature_politeness_==2nd_person==,strategy::feature_politeness_==2nd_person_start==,strategy::feature_politeness_==Indirect_(greeting)==,strategy::feature_politeness_==Direct_question==,strategy::feature_politeness_==Direct_start==,strategy::feature_politeness_==HASPOSITIVE==,strategy::feature_politeness_==HASNEGATIVE==,strategy::feature_politeness_==SUBJUNCTIVE==,strategy::feature_politeness_==INDICATIVE==,marker::politeness_markers_==Please==,marker::politeness_markers_==Please_start==,marker::politeness_markers_==HASHEDGE==,marker::politeness_markers_==Indirect_(btw)==,marker::politeness_markers_==Hedges==,marker::politeness_markers_==Factuality==,marker::politeness_markers_==Deference==,marker::politeness_markers_==Gratitude==,marker::politeness_markers_==Apologizing==,marker::politeness_markers_==1st_person_pl.==,marker::politeness_markers_==1st_person==,marker::politeness_markers_==1st_person_start==,marker::politeness_markers_==2nd_person==,marker::politeness_markers_==2nd_person_start==,marker::politeness_markers_==Indirect_(greeting)==,marker::politeness_markers_==Direct_question==,marker::politeness_markers_==Direct_start==,marker::politeness_markers_==HASPOSITIVE==,marker::politeness_markers_==HASNEGATIVE==,marker::politeness_markers_==SUBJUNCTIVE==,marker::politeness_markers_==INDICATIVE==,politeness_score_Genius1237/xlm-roberta-large-tydip,politeness_label,politeness_score_Genius1237/xlm-roberta-large-tydip_en
PAIK_PA_bot.docx,1,You,1,How do the Reasoning Smogs work?,Information,PA,Question,0,0.09,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,How do the Reasoning Smogs work?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('how', 0, 0)]]",[],"[[('work', 0, 5)]]",[],[],[],0.09101819247,impolite,0.09101819247
PAIK_PA_bot.docx,1,You,2,I'm done.,Information,PA,I'm done,0,0.85,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,I'm done.,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],"[[('i', 0, 0)]]",[],[],[],[],[],[],[],[],[],0.850425899,polite,0.850425899
PAIK_PA_bot.docx,1,ChatGPT,1,The Reasoning Smogs work by using tricky statements to confuse or distract.,Information,PA,,0,0.19,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,The Reasoning Smogs work by using tricky statements to confuse or distract.,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('work', 0, 3)]]","[[('tricky', 0, 6)], [('confuse', 0, 9)], [('distract', 0, 11)]]",[],[],0.1922806054,impolite,0.1922806054
PAIK_PA_bot.docx,1,ChatGPT,2,They’re meant to test if someone can figure out what’s true and what’s not.,Information,PA,,0,0.11,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,They’re meant to test if someone can figure out what’s true and what’s not.,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],0.1125962064,impolite,0.1125962064
PAIK_PA_bot.docx,1,ChatGPT,3,"Each Smog gives a reason that sounds okay at first, but when you look closer, it doesn’t really make sense.",Information,PA,,0,0.24,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,"Each Smog gives a reason that sounds okay at first, but when you look closer, it doesn’t really make sense.",4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],[],[],[],"[[('really', 0, 20)]]",[],[],[],[],[],[],"[[('you', 0, 13)]]",[],[],[],[],[],[],[],[],0.2424429059,impolite,0.2424429059
PAIK_PA_bot.docx,1,ChatGPT,4,The goal is to notice the mistake in their thinking and explain why their reason doesn’t work.,Information,PA,,0,0.27,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,The goal is to notice the mistake in their thinking and explain why their reason doesn’t work.,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,[],[],"[[('thinking', 0, 9)]]",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('work', 0, 17)]]","[[('mistake', 0, 6)]]",[],[],0.2703145146,impolite,0.2703145146
PAIK_PA_bot.docx,2,You,1,"To use this in general, you need to specify what is ReasoningMod about, right?",Information,PA,Question,0,0.33,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,"To use this in general, you need to specify what is ReasoningMod about, right?",6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],"[[('you', 0, 6)]]",[],[],[],[],"[[('right', 0, 15)]]",[],[],[],0.3312162161,neutral,0.3312162161
PAIK_PA_bot.docx,2,ChatGPT,1,"Yes, that’s right.",Information,PA,,0,0.88,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,"Yes, that’s right.",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"[[('right', 0, 4)]]",[],[],[],0.8797020316,polite,0.8797020316
PAIK_PA_bot.docx,2,ChatGPT,2,"To use ReasoningMod in general, you need to know what kind of thinking or topic it's focusing on.",Information,PA,,0,0.59,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,"To use ReasoningMod in general, you need to know what kind of thinking or topic it's focusing on.",8,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,[],[],"[[('thinking', 0, 13)]]",[],[],[],[],[],[],[],[],[],"[[('you', 0, 6)]]",[],[],[],[],[],[],[],[],0.5857579708,neutral,0.5857579708
PAIK_PA_bot.docx,2,ChatGPT,3,"That way, you can tell if a reason is actually good or just sounds good.",Information,PA,,0,0.45,11,2011,english / french,m,4/20/2025,Olga,Versailles,13.56,C,English,LC,3,"That way, you can tell if a reason is actually good or just sounds good.",9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,[],[],[],[],[],"[[('actually', 0, 10)]]",[],[],[],[],[],[],"[[('you', 0, 3)]]",[],[],[],[],"[[('good', 0, 11)], [('good', 0, 15)]]",[],[],[],0.4497309625,neutral,0.4497309625
